BottomTier,MiddleTier,TopTier,Lstate,Date,B_30DayChange,B_60DayChange,B_90DayChange,M_30DayChange,M_60DayChange,M_90DayChange,T_30DayChange,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,CityName,Avg_AggMortgage
52260,127628,202997,AR,5/1/2015,97,198,291,121,261,398,145,325,505,145,450.0166667,305.0166667,354,1099.018889,745.0188888,563,1748.029722,1185.029722,Little Rock,1099.021759
52304,126796,201288,OK,9/1/2014,156,296,461,332,587,919,507,877,1376,145,450.3955555,305.3955555,352,1091.854444,739.8544444,559,1733.313333,1174.313333,Tulsa,1091.854444
52304,126796,201288,OK,9/1/2014,156,296,461,332,587,919,507,877,1376,145,450.3955555,305.3955555,352,1091.854444,739.8544444,559,1733.313333,1174.313333,Oklahoma City,1091.854444
52383,127854,203325,AR,6/1/2015,123,220,321,226,347,487,328,473,653,145,451.0758333,306.0758333,355,1100.965,745.965,564,1750.854167,1186.854167,Little Rock,1100.965
52527,128122,203718,AR,7/1/2015,144,267,364,268,494,615,393,721,866,145,452.3158333,307.3158333,355,1103.272778,748.2727778,565,1754.238333,1189.238333,Little Rock,1103.275648
52592,127384,202176,OK,10/1/2014,288,444,584,588,920,1175,888,1395,1765,146,452.8755555,306.8755555,353,1096.917778,743.9177778,561,1740.96,1179.96,Tulsa,1096.917778
52592,127384,202176,OK,10/1/2014,288,444,584,588,920,1175,888,1395,1765,146,452.8755555,306.8755555,353,1096.917778,743.9177778,561,1740.96,1179.96,Oklahoma City,1096.917778
52692,128460,204229,AR,8/1/2015,165,309,432,338,606,832,511,904,1232,146,453.7366667,307.7366667,356,1106.183333,750.1833333,567,1758.638611,1191.638611,Little Rock,1106.186204
52852,127908,202964,OK,11/1/2014,260,548,704,524,1112,1444,788,1676,2183,146,455.1144444,309.1144444,355,1101.43,746.43,563,1747.745556,1184.745556,Tulsa,1101.43
52852,127908,202964,OK,11/1/2014,260,548,704,524,1112,1444,788,1676,2183,146,455.1144444,309.1144444,355,1101.43,746.43,563,1747.745556,1184.745556,Oklahoma City,1101.43
52852,128783,204714,AR,9/1/2015,160,325,469,323,661,929,485,996,1389,146,455.1144444,309.1144444,357,1108.964722,751.9647222,568,1762.815,1194.815,Little Rock,1108.964722
52996,129060,205124,AR,10/1/2015,144,304,469,277,600,938,410,895,1406,147,456.3544444,309.3544444,358,1111.35,753.35,569,1766.345556,1197.345556,Little Rock,1111.35
53089,128343,203598,OK,12/1/2014,237,497,785,435,959,1547,634,1422,2310,147,457.1552778,310.1552778,356,1105.175833,749.1758333,565,1753.205,1188.205,Tulsa,1105.178704
53089,128343,203598,OK,12/1/2014,237,497,785,435,959,1547,634,1422,2310,147,457.1552778,310.1552778,356,1105.175833,749.1758333,565,1753.205,1188.205,Oklahoma City,1105.178704
53154,129390,205627,AR,11/1/2015,158,302,462,330,607,930,503,913,1398,147,457.715,310.715,359,1114.191667,755.1916667,571,1770.676944,1199.676944,Little Rock,1114.194537
53220,128607,203995,OK,1/1/2015,131,368,628,264,699,1223,397,1031,1819,147,458.2833333,311.2833333,357,1107.449167,750.4491667,566,1756.623611,1190.623611,Tulsa,1107.452037
53220,128607,203995,OK,1/1/2015,131,368,628,264,699,1223,397,1031,1819,147,458.2833333,311.2833333,357,1107.449167,750.4491667,566,1756.623611,1190.623611,Oklahoma City,1107.452037
53306,129661,206017,AR,12/1/2015,152,310,454,271,601,878,390,893,1303,148,459.0238888,311.0238888,360,1116.525278,756.5252778,572,1774.035278,1202.035278,Little Rock,1116.528148
53388,128975,204562,OK,2/1/2015,168,299,536,368,632,1067,567,964,1598,148,459.73,311.73,358,1110.618056,752.6180555,568,1761.506111,1193.506111,Tulsa,1110.618056
53388,128975,204562,OK,2/1/2015,168,299,536,368,632,1067,567,964,1598,148,459.73,311.73,358,1110.618056,752.6180555,568,1761.506111,1193.506111,Oklahoma City,1110.618056
53457,129968,206479,AR,1/1/2016,151,303,461,307,578,908,462,852,1355,148,460.3241667,312.3241667,361,1119.168889,758.1688888,573,1778.013611,1205.013611,Little Rock,1119.168889
53581,129423,205266,OK,3/1/2015,193,361,492,448,816,1080,704,1271,1668,148,461.3919444,313.3919444,359,1114.475833,755.4758333,570,1767.568333,1197.568333,Tulsa,1114.478703
53581,129423,205266,OK,3/1/2015,193,361,492,448,816,1080,704,1271,1668,148,461.3919444,313.3919444,359,1114.475833,755.4758333,570,1767.568333,1197.568333,Oklahoma City,1114.478703
53607,130295,206984,AR,2/1/2016,150,301,453,327,634,905,505,967,1357,148,461.6158333,313.6158333,361,1121.984722,760.9847222,574,1782.362222,1208.362222,Little Rock,1121.987592
53757,130683,207609,AR,3/1/2016,150,300,451,388,715,1022,625,1130,1592,149,462.9075,313.9075,363,1125.325833,762.3258333,576,1787.744167,1211.744167,Little Rock,1125.325833
53768,129832,205897,OK,4/1/2015,187,380,548,409,857,1225,631,1335,1902,149,463.0022222,314.0022222,360,1117.997778,757.9977778,571,1773.001944,1202.001944,Tulsa,1118.000648
53768,129832,205897,OK,4/1/2015,187,380,548,409,857,1225,631,1335,1902,149,463.0022222,314.0022222,360,1117.997778,757.9977778,571,1773.001944,1202.001944,Oklahoma City,1118.000648
53906,130100,206294,OK,5/1/2015,138,325,518,268,677,1125,397,1028,1732,149,464.1905555,315.1905555,361,1120.305556,759.3055555,573,1776.420556,1203.420556,Tulsa,1120.305556
53906,130100,206294,OK,5/1/2015,138,325,518,268,677,1125,397,1028,1732,149,464.1905555,315.1905555,361,1120.305556,759.3055555,573,1776.420556,1203.420556,Oklahoma City,1120.305556
53907,131092,208277,AR,4/1/2016,150,300,450,409,797,1124,668,1293,1798,149,464.1991667,315.1991667,364,1128.847778,764.8477778,578,1793.496389,1215.496389,Little Rock,1128.847778
54051,130397,206743,OK,6/1/2015,145,283,470,297,565,974,449,846,1477,150,465.4391667,315.4391667,362,1122.863056,760.8630555,574,1780.286944,1206.286944,Tulsa,1122.863056
54051,130397,206743,OK,6/1/2015,145,283,470,297,565,974,449,846,1477,150,465.4391667,315.4391667,362,1122.863056,760.8630555,574,1780.286944,1206.286944,Oklahoma City,1122.863056
54074,131522,208970,AR,5/1/2016,167,317,467,430,839,1227,693,1361,1986,150,465.6372222,315.6372222,365,1132.550556,767.5505555,580,1799.463889,1219.463889,Little Rock,1132.550556
54171,130654,207137,OK,7/1/2015,120,265,403,257,554,822,394,843,1240,150,466.4725,316.4725,362,1125.076111,763.0761111,575,1783.679722,1208.679722,Tulsa,1125.076111
54171,130654,207137,OK,7/1/2015,120,265,403,257,554,822,394,843,1240,150,466.4725,316.4725,362,1125.076111,763.0761111,575,1783.679722,1208.679722,Oklahoma City,1125.076111
54261,131959,209657,AR,6/1/2016,187,354,504,437,867,1276,687,1380,2048,150,467.2475,317.2475,366,1136.313611,770.3136111,582,1805.379722,1223.379722,Little Rock,1136.313611
54289,130917,207546,OK,8/1/2015,118,238,383,263,520,817,409,803,1252,150,467.4886111,317.4886111,363,1127.340833,764.3408333,576,1787.201667,1211.201667,Tulsa,1127.343704
54289,130917,207546,OK,8/1/2015,118,238,383,263,520,817,409,803,1252,150,467.4886111,317.4886111,363,1127.340833,764.3408333,576,1787.201667,1211.201667,Oklahoma City,1127.343704
54362,130998,207635,OK,10/1/2015,-13,73,191,-72,81,344,-131,89,498,151,468.1172222,317.1172222,363,1128.038333,765.0383333,576,1787.968056,1211.968056,Tulsa,1128.041204
54362,130998,207635,OK,10/1/2015,-13,73,191,-72,81,344,-131,89,498,151,468.1172222,317.1172222,363,1128.038333,765.0383333,576,1787.968056,1211.968056,Oklahoma City,1128.041204
54370,130969,207569,OK,11/1/2015,8,-5,81,-29,-101,52,-66,-197,23,151,468.1861111,317.1861111,363,1127.788611,764.7886111,576,1787.399722,1211.399722,Tulsa,1127.791481
54370,130969,207569,OK,11/1/2015,8,-5,81,-29,-101,52,-66,-197,23,151,468.1861111,317.1861111,363,1127.788611,764.7886111,576,1787.399722,1211.399722,Oklahoma City,1127.791481
54375,131070,207766,OK,9/1/2015,86,204,324,153,416,673,220,629,1023,151,468.2291667,317.2291667,364,1128.658333,764.6583333,577,1789.096111,1212.096111,Tulsa,1128.661204
54375,131070,207766,OK,9/1/2015,86,204,324,153,416,673,220,629,1023,151,468.2291667,317.2291667,364,1128.658333,764.6583333,577,1789.096111,1212.096111,Oklahoma City,1128.661204
54420,131038,207657,OK,12/1/2015,50,58,45,69,40,-32,88,22,-109,151,468.6166667,317.6166667,363,1128.382778,765.3827778,576,1788.1575,1212.1575,Tulsa,1128.385648
54420,131038,207657,OK,12/1/2015,50,58,45,69,40,-32,88,22,-109,151,468.6166667,317.6166667,363,1128.382778,765.3827778,576,1788.1575,1212.1575,Oklahoma City,1128.385648
54420,132331,210242,AR,7/1/2016,159,346,513,372,809,1239,585,1272,1965,151,468.6166667,317.6166667,367,1139.516944,772.5169444,584,1810.417222,1226.417222,Little Rock,1139.516944
54558,132641,210724,AR,8/1/2016,138,297,484,310,682,1119,482,1067,1754,151,469.805,318.805,368,1142.186389,774.1863888,585,1814.567778,1229.567778,Little Rock,1142.186389
54598,131363,208128,OK,1/1/2016,178,228,236,325,394,365,471,559,493,151,470.1494444,319.1494444,364,1131.181389,767.1813888,578,1792.213333,1214.213333,Tulsa,1131.181389
