BottomTier,MiddleTier,TopTier,Lstate1,Date1,B_DiffPrevMonth,B_60DayChange,B_90DayChange,M_DiffPrevMonth,M_60DayChange,M_90DayChange,T_DiffPrevMonth,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,R_Monthly,CityName,R_DiffPrevMonth,R_60DayChange,R_90DayChange
133947,240007,346068,WI,1/1/2021,1559,2961,4373,2591,4936,7317,3624,6912,10261,372,1153.4325,781.4325,666,2066.726944,1400.726944,961,2980.03,2019.03,1182,Milwaukee,-150,-151,10
133947,240007,346068,WI,1/1/2021,1559,2961,4373,2591,4936,7317,3624,6912,10261,372,1153.4325,781.4325,666,2066.726944,1400.726944,961,2980.03,2019.03,1332,Madison,-1,160,148
133949,225367,316785,NV,5/1/2014,339,1173,2231,440,1654,3213,541,2135,4194,372,1153.449722,781.4497222,626,1940.660278,1314.660278,879,2727.870833,1848.870833,981,Las Vegas,10,13,15
133953,241572,349192,NM,1/1/2020,589,1043,1348,927,1676,2169,1265,2309,2991,372,1153.484167,781.4841667,671,2080.203333,1409.203333,969,3006.931111,2037.931111,1102,Albuquerque,3,10,5
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1184,Jacksonville,-20,-32,-576
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1192,Daytona Beach,-133,8,-12
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1204,Lakeland,-12,-556,-244
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1216,Melbourne,-544,-232,-158
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1297,Tampa,6,-173,-65
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1325,Fort Myers,141,121,109
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1374,Orlando,-102,77,83
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1448,North Port-Sarasota-Bradenton,74,-28,151
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1476,Port St. Lucie,179,185,6
133987,261891,389796,FL,6/1/2017,988,1996,3000,1355,2735,4131,1722,3474,5262,372,1153.776944,781.7769444,727,2255.1725,1528.1725,1082,3356.576667,2274.576667,1760,Miami-Fort Lauderdale,312,386,284
134005,235769,337534,MN,5/1/2016,496,962,1583,597,1142,2058,698,1322,2534,372,1153.931944,781.9319444,654,2030.233056,1376.233056,937,2906.542778,1969.542778,1344,Minneapolis-St Paul,15,25,36
134137,232489,330841,ID,8/1/2016,1000,2040,2887,1419,2911,4123,1837,3782,5359,372,1155.068611,783.0686111,645,2001.988611,1356.988611,919,2848.908611,1929.908611,1100,Boise City,7,15,29
134177,225621,317066,NV,6/1/2014,228,567,1401,254,694,1908,281,822,2416,372,1155.413056,783.4130555,626,1942.8475,1316.8475,880,2730.290556,1850.290556,990,Las Vegas,9,19,22
