BottomTier,MiddleTier,TopTier,Lstate1,Date1,B_DiffPrevMonth,B_60DayChange,B_90DayChange,M_DiffPrevMonth,M_60DayChange,M_90DayChange,T_DiffPrevMonth,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,R_Monthly,CityName,R_DiffPrevMonth,R_60DayChange,R_90DayChange
131399,395500,659602,NY,8/1/2017,525,1119,1797,1836,4036,6206,3147,6953,10615,364,1131.491389,767.4913888,1098,3405.694444,2307.694444,1832,5679.906111,3847.906111,1071,Rochester,87,86,4
131399,395500,659602,NY,8/1/2017,525,1119,1797,1836,4036,6206,3147,6953,10615,364,1131.491389,767.4913888,1098,3405.694444,2307.694444,1832,5679.906111,3847.906111,1183,Albany,183,-1405,112
131399,395500,659602,NY,8/1/2017,525,1119,1797,1836,4036,6206,3147,6953,10615,364,1131.491389,767.4913888,1098,3405.694444,2307.694444,1832,5679.906111,3847.906111,2588,New York,1517,1604,1603
131591,237801,344012,NM,8/1/2019,780,1656,2559,1239,2685,4255,1698,3715,5951,365,1133.144722,768.1447222,660,2047.730833,1387.730833,955,2962.325556,2007.325556,1094,Albuquerque,6,12,21
131718,222154,312591,NV,2/1/2014,1213,2544,4022,1788,3763,6011,2364,4982,8000,365,1134.238333,769.2383333,617,1912.992778,1295.992778,868,2691.755833,1823.755833,966,Las Vegas,5,,
131748,232669,333591,MN,1/1/2016,816,1512,2219,1306,2332,3389,1796,3153,4559,365,1134.496667,769.4966667,646,2003.538611,1357.538611,926,2872.589167,1946.589167,1297,Minneapolis-St Paul,3,-2,7
131906,265812,399718,GA,3/1/2021,1589,3064,4590,3283,6291,9268,4977,9517,13946,366,1135.857222,769.8572222,738,2288.936667,1550.936667,1110,3442.016111,2332.016111,1160,Augusta,14,-428,-171
131906,265812,399718,GA,3/1/2021,1589,3064,4590,3283,6291,9268,4977,9517,13946,366,1135.857222,769.8572222,738,2288.936667,1550.936667,1110,3442.016111,2332.016111,1355,Gainesville,-262,195,209
131906,265812,399718,GA,3/1/2021,1589,3064,4590,3283,6291,9268,4977,9517,13946,366,1135.857222,769.8572222,738,2288.936667,1550.936667,1110,3442.016111,2332.016111,1617,Atlanta,457,471,29
131907,397187,662468,NY,9/1/2017,508,1033,1627,1687,3523,5723,2866,6013,9819,366,1135.865833,769.8658333,1103,3420.221389,2317.221389,1840,5704.585556,3864.585556,978,Syracuse,-85,-1624,-15
131907,397187,662468,NY,9/1/2017,508,1033,1627,1687,3523,5723,2866,6013,9819,366,1135.865833,769.8658333,1103,3420.221389,2317.221389,1840,5704.585556,3864.585556,993,Buffalo,-185,-190,-7
131907,397187,662468,NY,9/1/2017,508,1033,1627,1687,3523,5723,2866,6013,9819,366,1135.865833,769.8658333,1103,3420.221389,2317.221389,1840,5704.585556,3864.585556,1063,Rochester,-1539,70,-115
131907,397187,662468,NY,9/1/2017,508,1033,1627,1687,3523,5723,2866,6013,9819,366,1135.865833,769.8658333,1103,3420.221389,2317.221389,1840,5704.585556,3864.585556,1178,Albany,-5,178,-1410
131907,397187,662468,NY,9/1/2017,508,1033,1627,1687,3523,5723,2866,6013,9819,366,1135.865833,769.8658333,1103,3420.221389,2317.221389,1840,5704.585556,3864.585556,2602,New York,1609,1424,1419
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1163,Daytona Beach,-174,-5,-20
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1168,Jacksonville,-15,-32,-591
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1183,Lakeland,-17,-576,-286
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1200,Melbourne,-559,-269,-149
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1285,Tampa,9,-158,-50
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1337,Fort Myers,169,154,137
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1349,Orlando,-107,64,73
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1456,Port St. Lucie,171,180,13
